Plot Title: Sensor_23,,,,,,,
#,"Date Time, GMT-05:00","Temp, °F (LGR S/N: 10396210, SEN S/N: 10396210)","RH, % (LGR S/N: 10396210, SEN S/N: 10396210)","Intensity, Lux (LGR S/N: 10396210, SEN S/N: 10396210)",Host Connected (LGR S/N: 10396210),Stopped (LGR S/N: 10396210),End Of File (LGR S/N: 10396210)
260,9/27/2022 14:35,77.335,53.561,1107.7,,,
261,9/27/2022 14:40,77.421,53.536,1107.7,,,
262,9/27/2022 14:45,77.553,53.515,1099.8,,,
263,9/27/2022 14:50,77.639,53.49,1091.9,,,
264,9/27/2022 14:55,77.77,53.469,1091.9,,,
265,9/27/2022 15:00,77.859,53.444,1084,,,
266,9/27/2022 15:05,77.99,53.423,1076.1,,,
267,9/27/2022 15:10,78.076,53.398,1076.1,,,
268,9/27/2022 15:15,78.165,53.373,1068.2,,,
269,9/27/2022 15:20,78.296,53.352,1060.4,,,
270,9/27/2022 15:25,78.382,53.327,1044.6,,,
271,9/27/2022 15:30,78.471,53.271,1036.7,,,
272,9/27/2022 15:35,78.602,53.281,1028.8,,,
273,9/27/2022 15:40,78.69,53.225,1013.1,,,
274,9/27/2022 15:45,78.777,53.231,997.3,,,
275,9/27/2022 15:50,78.865,53.238,981.5,,,
276,9/27/2022 15:55,78.953,53.182,973.6,,,
277,9/27/2022 16:00,79.041,53.188,957.9,,,
278,9/27/2022 16:05,79.128,53.132,942.1,,,
279,9/27/2022 16:10,79.216,53.107,926.3,,,
280,9/27/2022 16:15,79.304,53.114,910.6,,,
281,9/27/2022 16:20,79.392,53.089,886.9,,,
282,9/27/2022 16:25,79.435,53.092,871.2,,,
283,9/27/2022 16:30,79.524,53.036,855.4,,,
284,9/27/2022 16:35,79.347,52.452,831.7,,,
285,9/27/2022 16:40,78.296,53.257,808.1,,,
286,9/27/2022 16:45,78.427,53.331,792.3,,,
287,9/27/2022 16:50,78.645,53.316,768.7,,,
288,9/27/2022 16:55,78.822,53.298,745,,,
289,9/27/2022 17:00,78.953,53.277,729.2,,,
290,9/27/2022 17:05,79.084,53.255,705.6,,,
291,9/27/2022 17:10,78.953,52.675,681.9,,,
292,9/27/2022 17:15,78.033,53.521,658.3,,,
293,9/27/2022 17:20,78.165,53.626,634.6,,,
294,9/27/2022 17:25,78.382,53.548,611,,,
295,9/27/2022 17:30,78.602,53.534,587.3,,,
296,9/27/2022 17:35,78.733,53.449,555.8,,,
297,9/27/2022 17:40,78.865,53.207,532.2,,,
298,9/27/2022 17:45,77.99,52.538,500.6,,,
299,9/27/2022 17:50,76.854,52.609,477,,,
300,9/27/2022 17:55,75.898,52.63,445.4,,,
301,9/27/2022 18:00,75.16,52.731,421.8,,,
302,9/27/2022 18:05,74.424,52.643,390.2,,,
303,9/27/2022 18:10,73.774,53.816,366.6,,,
304,9/27/2022 18:15,74.163,54.097,335.1,,,
305,9/27/2022 18:20,74.554,53.627,311.4,,,
306,9/27/2022 18:25,73.947,53.046,279.9,,,
307,9/27/2022 18:30,73.645,54.743,248.3,,,
308,9/27/2022 18:35,74.12,54.469,224.7,,,
309,9/27/2022 18:40,74.295,53.982,193.2,,,
310,9/27/2022 18:45,73.515,54.077,161.6,,,
311,9/27/2022 18:50,73.688,54.965,130.1,,,
312,9/27/2022 18:55,74.077,54.778,98.5,,,
313,9/27/2022 19:00,74.338,54.424,67,,,
314,9/27/2022 19:05,73.602,54.334,43.4,,,
315,9/27/2022 19:10,73.558,55.329,27.6,,,
316,9/27/2022 19:15,73.904,55.107,19.7,,,
317,9/27/2022 19:20,74.206,54.976,11.8,,,
318,9/27/2022 19:25,73.774,54.254,11.8,,,
319,9/27/2022 19:30,73.342,55.653,19.7,,,
320,9/27/2022 19:35,73.688,55.464,11.8,,,
321,9/27/2022 19:40,73.99,55.27,11.8,,,
322,9/27/2022 19:45,74.25,55.104,11.8,,,
323,9/27/2022 19:50,73.774,54.16,11.8,,,
324,9/27/2022 19:55,73.342,55.778,11.8,,,
325,9/27/2022 20:00,73.645,55.585,11.8,,,
326,9/27/2022 20:05,73.904,55.388,11.8,,,
327,9/27/2022 20:10,74.12,55.218,19.7,,,
328,9/27/2022 20:15,74.295,55.107,11.8,,,
329,9/27/2022 20:20,73.99,54.302,19.7,,,
330,9/27/2022 20:25,73.256,55.74,11.8,,,
331,9/27/2022 20:30,73.515,55.667,11.8,,,
332,9/27/2022 20:35,73.731,55.498,19.7,,,
333,9/27/2022 20:40,73.947,55.329,19.7,,,
334,9/27/2022 20:45,74.077,55.152,11.8,,,
335,9/27/2022 20:50,74.25,55.104,11.8,,,
336,9/27/2022 20:55,74.12,54.532,11.8,,,
337,9/27/2022 21:00,73.213,55.518,11.8,,,
338,9/27/2022 21:05,73.342,55.715,11.8,,,
339,9/27/2022 21:10,73.558,55.546,11.8,,,
340,9/27/2022 21:15,73.688,55.432,11.8,,,
341,9/27/2022 21:20,73.861,55.291,11.8,,,
